Site Reference;IP
AT_GRD_GRODIG;10.255.225.105
AU_MEL_BRAESIDE;10.255.225.41
CA_ARC_VANCOUVER;10.255.225.
CH_GVA_GENEVA;10.255.226.213
CH_ZRH_HAGENDORN;10.255.225.157
CN_DGM_GUANG-DONG-YY2;10.255.225.61
CN_PVG_SHANGHAI;10.255.225.53
CN_SZX_SHENZHEN;10.255.225.65
CZ_PRG_PRAHA;10.255.225.21
DE_SCN_UBERHERRN;10.255.226.45
DK_AAL_KOKKEDAL;10.255.225.237
ES_BCN_BARCELONA;10.255.225.97
FR_LYS_VILLEFONTAINE;10.255.228.145
HK_HKG_KOWLOON;10.255.225.37
IT_VCE_LANCENIGO;10.255.225.85
JP_CTC_MEJIROZAKA;10.255.225.25
KR_SEL_SEOUL;10.255.225.77
MX_MEX_MEXICO;10.255.226.241
MX_TPZ_TEPOTZOTLAN;10.255.228.133
MY_KUL_SELANGOR;10.255.225.125
NO_OSL_LØRENSKOG;10.255.226.53
PL_KRE_ASP;10.255.225.57
PL_KRK_BUMA;10.255.225.205
RU_DME_MOSCOW;10.255.226.101
SE_GOT_BORAS;10.255.225.89
SE_STO_STOCKHOLM-PP;10.255.228.241
TW_RMQ_TAICHUNG;10.255.225.49
UK_IRV_IRVINE-WH;10.255.225.93
UK_LHR_FRIMLEY;10.255.225.17
US_ADA_ADA;10.255.226.249
US_BDO_OGDEN-DC;10.255.228.253
US_HIL_HILLSBORO;10.255.226.197
US_LAV_LAVERGNE;10.255.228.197
US_MJT_MONT-JULIET;10.255.226.202
US_NAS_NASHVILLE;10.255.226.206
US_OGD_OGDEN-SC;10.255.228.105
US_OGE_OGDEN-STOCKMAN;10.255.228.209
US_REN_RENO;10.255.228.68
US_SEA_WOODINVILLE;10.255.228.101
US_SPA_SPARTA;10.255.226.233
